"Cudrania";1
"Weigela (cultuurvariëteit)";1
"Dipelta";1
"Schijnels (cultuurvariëteit)";1
"Lespedeza";1
"Lagerstroemia";2
"Alangium (cultuurvariëteit)";1
"Mahonia (cultuurvariëteit)";1
"Pseudopanax";1
"Skimmia (cultuurvariëteit)";1
"Stermagnolia (cultuurvariëteit)";1
"Euptelea";1
"Pluimhortensia (cultuurvariëteit)";11
"Schijnhazelaar";7
"Mahonia";1
"Edgeworthia";1
"Escallonia (cultuurvariëteit)";1
"Druifheide (cultuurvariëteit)";9
"Asimina";2
"Schijnels";1
"Stewartia";4
"Dadelpruim";2
"Zanthoxylum";3
"Parelstruik (cultuurvariëteit)";4
"Sneeuwvlokkenboom";4
"Disanthus";1
"Verfeik";2
"Chitalpa (cultuurvariëteit)";2
"Gladbladige treuriep";1
"Sassafras";9
"Europese lariks (cultuurvariëteit)";1
"Maddenia";1
"Parasolden";2
"Japanse storaxboom";4
"Oxydendrum";1
"Cyclocarya";1
"Meliosma";1
"Knoptaxus";2
"Perzische eik";2
"Amerikaanse iep (cultuurvariëteit)";1
"Japanse haagbeuk";1
"Storaxboom";2
"Vernisboom";3
"Picrasma";1
"Aziatische lariks (cultuurvariëteit)";1
"Photinia";2
"Japanse abrikoos";3
"Chinese tulpenboom";1
"Grootbloemige kornoelje (cultuurvariëteit)";1
"Emmenopterys";2
"Grootbladige kornoelje";1
"Japanse sneeuwbal (cultuurvariëteit)";3
"Hemelse bamboe";9
"Druifheide";4
"Chinese dadelboom";2
"Hortensia";3
"Sarcococca";6
"Choisya (cultuurvariëteit)";6
"Kalopanax (cultuurvariëteit)";1
"Hazelaar (cultuurvariëteit)";1
"Japanse toverhazelaar (cultuurvariëteit)";2
"Palmboompje (cultuurvariëteit)";3
"Tetracentron";1
"Erwtenstruik (cultuurvariëteit)";1
"Aucuba (cultuurvariëteit)";1
"Herfstpaardenkastanje";2
"Tuinhortensia (cultuurvariëteit)";3
"Wollige sneeuwbal";1
"Chimonanthus (cultuurvariëteit)";1
"Blaasspirea (cultuurvariëteit)";3
"Beshulst";3
"Gewone vlier (cultuurvariëteit)";1
"Suikerberk (cultuurvariëteit)";1
"Reuzenlevensboom (cultuurvariëteit)";16
"Mammoetboom (cultuurvariëteit)";2
"Hinokicypres (cultuurvariëteit)";4
"Japanse levensboom";5
"Althaeastruik";3
"Japanse cypres";1
"Kardinaalsmuts (cultuurvariëteit)";13
"Grootbladige hulst (cultuurvariëteit)";2
"Podocarpus (cultuurvariëteit)";8
"Knoptaxus (cultuurvariëteit)";3
"Wierookceder";3
"Grove den (cultuurvariëteit)";17
"Torreya";1
"Grijze wilg";1
"Portugese laurierkers";1
"Kalopanax";1
"Transkaukasische berk (cultuurvariëteit)";3
"Diospyros";1
"Colorado zilverspar";1
"Reuzenkornoelje (cultuurvariëteit)";1
"Balsemzilverspar";1
"Spiesden";1
"Canadese hemlock (cultuurvariëteit)";3
"Vleugelnoot";1
"Oosterse levensboom (cultuurvariëteit)";1
"Colorado zilverspar (cultuurvariëteit)";1
"Den (cultuurvariëteit)";2
"Haagbeuk";1
"Liguster";3
"Kashmir iep";1
"Kornoelje (cultuurvariëteit)";1
